"rt","recall","stimuli","accuracy","trial_type","trial_index","time_elapsed"
"69609","5","9,6,1","0","digit-span-recall","6","81033"
"12614","9","7,5,8","0","digit-span-recall","11","97686"
"1770","9","1,9,4","0","digit-span-recall","16","103505"
"3428","9","6,3,0","0","digit-span-recall","22","113442"
"2522","9","9,1,2","0","digit-span-recall","27","119990"
"2203","8","8,9,0","0","digit-span-recall","32","126229"
"1887","9","6,0,4","0","digit-span-recall","37","132158"
"2481","9","3,2,5","0","digit-span-recall","42","138685"
"1922","8","6,9,8","0","digit-span-recall","47","144651"
"2232","9","1,5,8","0","digit-span-recall","52","150933"
"2156","9","8,6,2","0","digit-span-recall","57","157121"
"4651","9","7,0,4","0","digit-span-recall","62","165807"
"1527","9","8,5,2","0","digit-span-recall","67","171395"
"1981","8","5,2,0","0","digit-span-recall","72","177413"
"2583","8","8,9,2","0","digit-span-recall","77","184049"
"2403","8","9,2,5","0","digit-span-recall","82","190502"
"1699","9","2,4,3","0","digit-span-recall","87","196255"
