"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"5040","survey-text","0","5042","","","","","",""
"","fullscreen","1","7117","","","","","",""
"2168","instructions","2","9285","","","","","",""
"","html-keyboard-response","3","10197","","","","","",""
"","visual-array-stimuli","4","10511","4","88,28,109,112,171,231,197,43","green,yellow,blue,black","","",""
"","html-keyboard-response","5","11424","","","","","",""
"237","visual-array-response","6","11663","","","","false","83","true"
"","html-keyboard-response","7","12667","","","","","",""
"","html-keyboard-response","8","13575","","","","","",""
"","visual-array-stimuli","9","13892","8","140,154,212,124,194,41,166,204,184,127,135,103,239,141,157,51","black,red,red,blue,blue,purple,blue,white","","",""
"","html-keyboard-response","10","14811","","","","","",""
"121","visual-array-response","11","14934","","","","false","83","true"
"","html-keyboard-response","12","15950","","","","","",""
"","html-keyboard-response","13","16867","","","","","",""
"","visual-array-stimuli","14","17181","8","51,102,165,204,68,74,21,114,137,75,179,154,75,139,55,165","green,yellow,yellow,red,blue,yellow,red,black","","",""
"","html-keyboard-response","15","18093","","","","","",""
"68","visual-array-response","16","18164","","","","true","83","false"
"","html-keyboard-response","17","19166","","","","","",""
"","html-keyboard-response","18","20066","","","","","",""
"","visual-array-stimuli","19","20370","6","20,129,82,101,142,76,58,88,117,183,45,200","purple,green,yellow,blue,yellow,yellow","","",""
"","html-keyboard-response","20","21275","","","","","",""
"107","visual-array-response","21","21383","","","","true","83","false"
"","html-keyboard-response","22","22397","","","","","",""
"","html-keyboard-response","23","23311","","","","","",""
"","visual-array-stimuli","24","23627","6","127,212,137,155,183,33,130,75,164,54,73,69","black,black,red,white,yellow,blue","","",""
"","html-keyboard-response","25","24540","","","","","",""
"97","visual-array-response","26","24639","","","","true","83","false"
"","html-keyboard-response","27","25652","","","","","",""
"","html-keyboard-response","28","26559","","","","","",""
"","visual-array-stimuli","29","26871","6","212,137,54,49,135,239,76,66,66,183,137,47","blue,purple,white,black,purple,blue","","",""
"","html-keyboard-response","30","27782","","","","","",""
"0","visual-array-response","31","27784","","","","false","83","true"
"","html-keyboard-response","32","28795","","","","","",""
"","html-keyboard-response","33","29703","","","","","",""
"","visual-array-stimuli","34","30005","4","141,239,235,99,77,146,103,123","purple,blue,purple,green","","",""
"","html-keyboard-response","35","30914","","","","","",""
"202","visual-array-response","36","31117","","","","false","75","false"
"","html-keyboard-response","37","32128","","","","","",""
"","html-keyboard-response","38","33041","","","","","",""
"","visual-array-stimuli","39","33348","4","36,71,204,94,129,103,125,47","green,purple,green,black","","",""
"","html-keyboard-response","40","34256","","","","","",""
"7","visual-array-response","41","34264","","","","true","83","false"
"","html-keyboard-response","42","35277","","","","","",""
"","html-keyboard-response","43","36190","","","","","",""
"","visual-array-stimuli","44","36504","6","75,139,188,223,78,227,239,126,28,171,71,36","white,green,red,purple,blue,purple","","",""
"","html-keyboard-response","45","37416","","","","","",""
"126","visual-array-response","46","37543","","","","true","75","true"
"","html-keyboard-response","47","38556","","","","","",""
"","html-keyboard-response","48","39469","","","","","",""
"","visual-array-stimuli","49","39785","8","209,154,184,34,45,59,185,225,105,209,20,129,163,86,130,130","black,white,black,yellow,green,green,yellow,black","","",""
"","html-keyboard-response","50","40694","","","","","",""
"107","visual-array-response","51","40802","","","","false","83","true"
"","html-keyboard-response","52","41804","","","","","",""
"","html-keyboard-response","53","42712","","","","","",""
"","visual-array-stimuli","54","43026","8","118,105,22,105,63,42,130,130,112,48,126,75,100,176,177,198","purple,purple,blue,purple,black,yellow,yellow,purple","","",""
"","html-keyboard-response","55","43939","","","","","",""
"94","visual-array-response","56","44037","","","","true","83","false"
"","html-keyboard-response","57","45058","","","","","",""
"","html-keyboard-response","58","45964","","","","","",""
"","visual-array-stimuli","59","46266","4","107,50,130,130,174,97,152,209","green,purple,blue,purple","","",""
"","html-keyboard-response","60","47179","","","","","",""
"33","visual-array-response","61","47213","","","","true","75","true"
"","html-keyboard-response","62","48231","","","","","",""
"","fullscreen","63","49250","","","","","",""
"","html-keyboard-response","64","49357","","","","","",""
